Square	WithoutNoise	With Noise
1000	22.4531	16.9967
1	22.4531	50.5726
2	22.4531	-7.97747
3	22.4531	50.2086
4	18.375	6.86955
5	18.375	34.1774
6	18.375	-16.2557
7	18.375	36.5962
8	22.4531	17.2627
9	22.4531	22.1916
10	22.4531	-2.28705
11	22.4531	-4.16981
12	18.375	14.6153
13	18.375	24.1032
14	18.375	11.7137
15	18.375	9.96352
16	22.4531	56.311
17	22.4531	1.02195
18	22.4531	11.2496
19	22.4531	6.82066
20	18.375	9.26807
21	18.375	48.5203
22	73.5	60.9135
23	73.5	85.9088
24	22.4531	15.1032
25	22.4531	8.26899
26	22.4531	7.50656
27	22.4531	45.1581
28	18.375	37.1722
29	18.375	43.7899
30	156	166.221
31	138	123.129
32	782	759.046
33	195.5	188.196
34	48.875	35.1505
35	48.875	70.0498
36	22.5625	37.9903
37	22.5625	8.36733
38	14	-8.79712
39	347	346.969
40	195.5	168.99
41	195.5	217.594
42	48.875	66.1019
43	48.875	37.3264
44	22.5625	70.7204
45	22.5625	33.7638
46	90.25	92.5473
47	90.25	86.879
48	48.875	46.0112
49	48.875	57.8789
50	48.875	67.1935
51	48.875	31.9434
52	22.5625	-12.4382
53	22.5625	10.5782
54	22.5625	-10.5738
55	22.5625	41.6098
56	48.875	66.2146
57	48.875	42.9915
58	48.875	45.8755
59	48.875	6.28035
60	22.5625	-11.3495
61	22.5625	43.1192
62	22.5625	32.1707
63	22.5625	56.2008
